"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",29.7679391068568,316.092074075105,0.0941748988612216,0.924973246623109
"2","publish_year",-0.0165158994299338,0.0034112709301598,-4.8415677816479,1.31920913244736e-06
"3","republish_length",0.00250834171838069,0.000648670373454102,3.86689730413312,0.000111349034362253
"4","pages",0.00192602796081742,0.000232669765411613,8.27794688927505,1.518616376378e-16
"5","as.factor(cover)Board Book",4.2893104702807,316.013238153942,0.013573198690465,0.989170920628786
"6","as.factor(cover)Ebook",3.44100619452337,316.015741971646,0.0108887176729066,0.991312579935161
"7","as.factor(cover)Hardcover",3.99098820087927,316.013115948893,0.0126291853073741,0.989924039491568
"8","as.factor(cover)Kindle Edition",3.35818975208101,316.014324381074,0.0106267010479925,0.991521618483218
"9","as.factor(cover)Paperback",3.92996651779825,316.013124422495,0.0124360863966652,0.990078091859609
"10","rating",1.94323038920896,0.303287591356345,6.4072202246012,1.5901342488751e-10
